CEP,CEP_Formatado,UF,Cidade_Referencia,Regiao
71710-041,71710041,AC,Rio Branco,Norte
72255-203,72255203,AC,Rio Branco,Norte
75681-773,75681773,AC,Rio Branco,Norte
21070-470,21070470,AC,Rio Branco,Norte
09110-160,9110160,AC,Rio Branco,Norte
04866-150,4866150,AC,Rio Branco,Norte
04866-250,4866250,AC,Rio Branco,Norte
12948-642,12948642,AC,Rio Branco,Norte
24342-079,24342079,AC,Rio Branco,Norte
78870-000,78870000,AC,Rio Branco,Norte
76970-000,76970000,AC,Rio Branco,Norte
13470-230,13470230,AC,Rio Branco,Norte
09170-740,9170740,AC,Rio Branco,Norte
13320-370,13320370,AC,Rio Branco,Norte
13339-545,13339545,AC,Rio Branco,Norte
72250-102,72250102,AC,Rio Branco,Norte
12120-310,12120310,AC,Rio Branco,Norte
61890-000,61890000,AC,Rio Branco,Norte
09820-135,9820135,AC,Rio Branco,Norte
02816-030,2816030,AC,Rio Branco,Norte
18400-140,18400140,AC,Rio Branco,Norte
08431-270,8431270,AC,Rio Branco,Norte
04431-091,4431091,AC,Rio Branco,Norte
32430-240,32430240,AC,Rio Branco,Norte
29060-170,29060170,AC,Rio Branco,Norte
49156-280,49156280,AC,Rio Branco,Norte
03478-007,3478007,AC,Rio Branco,Norte
74605-020,74605020,AC,Rio Branco,Norte
07085-043,7085043,AL,Maceió,Nordeste
04545-050,4545050,AL,Maceió,Nordeste
27253-120,27253120,AL,Maceió,Nordeste
09330-080,9330080,AL,Maceió,Nordeste
04613-002,4613002,AL,Maceió,Nordeste
09390-710,9390710,AL,Maceió,Nordeste
15804-335,15804335,AL,Maceió,Nordeste
03625-030,3625030,AL,Maceió,Nordeste
88353-655,88353655,AL,Maceió,Nordeste
03951-110,3951110,AL,Maceió,Nordeste
95840-000,95840000,AL,Maceió,Nordeste
40020-440,40020440,AL,Maceió,Nordeste
18104-103,18104103,AL,Maceió,Nordeste
08696-040,8696040,AL,Maceió,Nordeste
78894-097,78894097,AL,Maceió,Nordeste
03921-100,3921100,AL,Maceió,Nordeste
04844-290,4844290,AL,Maceió,Nordeste
06448-130,6448130,AL,Maceió,Nordeste
24812-472,24812472,AL,Maceió,Nordeste
07175-050,7175050,AL,Maceió,Nordeste
09895-400,9895400,AL,Maceió,Nordeste
08111-150,8111150,AL,Maceió,Nordeste
99560-000,99560000,AL,Maceió,Nordeste
72010-020,72010020,AL,Maceió,Nordeste
09571-340,9571340,AL,Maceió,Nordeste
69905-518,69905518,AL,Maceió,Nordeste
09132-410,9132410,AL,Maceió,Nordeste
85802-160,85802160,AL,Maceió,Nordeste
78643-000,78643000,AL,Maceió,Nordeste
13324-515,13324515,AL,Maceió,Nordeste
09351-150,9351150,AL,Maceió,Nordeste
76801-558,76801558,AL,Maceió,Nordeste
85818-090,85818090,AL,Maceió,Nordeste
29161-825,29161825,AL,Maceió,Nordeste
04285-130,4285130,AL,Maceió,Nordeste
82530-270,82530270,AL,Maceió,Nordeste
72135-240,72135240,AL,Maceió,Nordeste
37660-000,37660000,AL,Maceió,Nordeste
09120-680,9120680,AL,Maceió,Nordeste
04444-000,4444000,AL,Maceió,Nordeste
72755-103,72755103,AL,Maceió,Nordeste
66055-045,66055045,AL,Maceió,Nordeste
03374-050,3374050,AL,Maceió,Nordeste
21341-140,21341140,AL,Maceió,Nordeste
35400-320,35400320,AL,Maceió,Nordeste
88845-000,88845000,AL,Maceió,Nordeste
